Stop No,NaPTAN,Latitude,Longitude
00101,8.91085E+11,54.14761003,-4.48579205
00102,8.91085E+11,54.14829532,-4.47701803
00104,8.91085E+11,54.14829532,-4.47701803
00108,8.91085E+11,54.14988836,-4.47717415
00109,8.91085E+11,54.14820652,-4.48205335
00110,8.91085E+11,54.14800016,-4.48417791
00111,8.91085E+11,54.14952541,-4.48993874
00112,8.91085E+11,54.15012248,-4.49418845
00113,8.91085E+11,54.15167871,-4.49911023
00114,8.91085E+11,54.15475762,-4.50115339
00115,8.91085E+11,54.149222,-4.477004
00117,8.91085E+11,54.15274684,-4.47837338
00118,8.91085E+11,54.15499342,-4.47840031
00119,8.91085E+11,54.15842245,-4.47610654
00120,8.91085E+11,54.16026905,-4.47441984
00121,8.91085E+11,54.16275925,-4.47095728
00122,8.91085E+11,54.16474855,-4.46769522
00123,8.91085E+11,54.16611469,-4.46522262
00124,8.91085E+11,54.16701181,-4.46085758
00125,8.91085E+11,54.15859503,-4.47979895
00126,8.91085E+11,54.16102294,-4.48212098
00127,8.91085E+11,54.16453583,-4.4837227
00128,8.91085E+11,54.14863819,-4.48058054
00129,8.91085E+11,54.15025876,-4.48107583
00130,8.91085E+11,54.15188888,-4.4834448
00131,8.91085E+11,54.15430445,-4.48481923
00132,8.91085E+11,54.15673189,-4.48586216
00133,8.91085E+11,54.15788381,-4.48666158
00134,8.91085E+11,54.16058351,-4.48530728
00135,8.91085E+11,54.16267873,-4.48353314
00136,8.91085E+11,54.1510257,-4.48714484
00137,8.91085E+11,54.15179136,-4.48957705
00138,8.91085E+11,54.15520135,-4.48803786
00139,8.91085E+11,54.15610012,-4.48931884
00140,8.91085E+11,54.15577662,-4.49213227
00141,8.91085E+11,54.15530003,-4.49391405
00142,8.91085E+11,54.15509004,-4.4961211
00143,8.91085E+11,54.15495303,-4.49956613
00144,8.91085E+11,54.15587286,-4.49654763
00145,8.91085E+11,54.15648235,-4.49411567
00148,8.91085E+11,54.15053793,-4.48377724
00149,8.91085E+11,54.15868006,-4.48879334
00150,8.91085E+11,54.15375043,-4.48724732
00151,8.91085E+11,54.1586366,-4.47896324
00152,8.91085E+11,54.16033607,-4.47749979
00153,8.91085E+11,54.1605555,-4.4824375
00154,8.91085E+11,54.16160644,-4.481041
00155,8.91085E+11,54.1626766,-4.4791687
00156,8.91085E+11,54.16300007,-4.47605737
00157,8.91085E+11,54.16401947,-4.47425385
00158,8.91085E+11,54.16452187,-4.47364761
00159,8.91085E+11,54.16682222,-4.47067848
00160,8.91085E+11,54.16655643,-4.48114044
00161,8.91085E+11,54.16859417,-4.47676483
00162,8.91085E+11,54.16920343,-4.47505044
00163,8.91085E+11,54.17012518,-4.47252466
00164,8.91085E+11,54.17061024,-4.47133948
00165,8.91085E+11,54.14688939,-4.48438962
00166,8.91085E+11,54.17069916,-4.46897675
00167,8.91085E+11,54.14949623,-4.48599135
00168,8.91085E+11,54.15321081,-4.48878928
00169,8.91085E+11,54.15001925,-4.50148202
00203,8.91085E+11,54.15021863,-4.50294054
00204,8.91085E+11,54.15035066,-4.50281267
00205,8.91085E+11,54.1520894,-4.50522553
00206,8.91085E+11,54.15209348,-4.50473537
00207,8.91085E+11,54.15309935,-4.50795812
00208,8.91085E+11,54.15287483,-4.50721749
00209,8.91085E+11,54.15197455,-4.51124282
00210,8.91085E+11,54.15280364,-4.51009013
00211,8.91085E+11,54.15113409,-4.51027193
00213,8.91085E+11,54.15114,-4.51005
00301,8.91085E+11,54.14126103,-4.53939678
00302,8.91085E+11,54.14127749,-4.54164125
00303,8.91085E+11,54.13995207,-4.54741609
00304,8.91085E+11,54.137643,-4.55617295
00305,8.91085E+11,54.13732466,-4.55688347
00306,8.91085E+11,54.13509279,-4.56233031
00307,8.91085E+11,54.13518406,-4.56186472
00308,8.91085E+11,54.13118517,-4.56612859
00309,8.91085E+11,54.13081356,-4.56616439
00310,8.91085E+11,54.123844,-4.57387916
00311,8.91085E+11,54.12378698,-4.57364498
00312,8.91085E+11,54.12121021,-4.5795382
00313,8.91085E+11,54.12109367,-4.57949759
00314,8.91085E+11,54.11789211,-4.58860308
00315,8.91085E+11,54.11894757,-4.5857894
00401,8.91085E+11,54.10110517,-4.62004756
00402,8.91085E+11,54.1008967,-4.62095468
00403,8.91085E+11,54.09944316,-4.62473403
00404,8.91085E+11,54.09950921,-4.6247974
00405,8.91085E+11,54.09791207,-4.62913979
00406,8.91085E+11,54.0983187,-4.62835422
00407,8.91085E+11,54.09671252,-4.6298577
00408,8.91085E+11,54.0959631,-4.62974174
00409,8.91085E+11,54.09418783,-4.63000224
00410,8.91085E+11,54.09450765,-4.62987352
00411,8.91085E+11,54.09829775,-4.63216085
00412,8.91085E+11,54.09841839,-4.63217355
00413,8.91085E+11,54.09509535,-4.64634451
00414,8.91085E+11,54.09517619,-4.64649053
00415,8.91085E+11,54.10503172,-4.64205443
00416,8.91085E+11,54.10505054,-4.64219193
00417,8.91085E+11,54.09626,-4.62523
00418,8.91085E+11,54.0964,-4.62491
00501,8.91085E+11,54.08896523,-4.63247221
00502,8.91085E+11,54.08896523,-4.63247221
00503,8.91085E+11,54.08672531,-4.63478189
00504,8.91085E+11,54.08672531,-4.63478189
00601,8.91085E+11,54.08230039,-4.64040601
00602,8.91085E+11,54.08233661,-4.64050479
00603,8.91085E+11,54.08067112,-4.64217932
00604,8.91085E+11,54.08112248,-4.6418458
00605,8.91085E+11,54.07921218,-4.64377696
00606,8.91085E+11,54.07909854,-4.64410426
00607,8.91085E+11,54.07805477,-4.64608947
00608,8.91085E+11,54.07816577,-4.64606198
00609,8.91085E+11,54.07778849,-4.64914188
00610,8.91085E+11,54.07791869,-4.64906394
00611,8.91085E+11,54.07692676,-4.65082648
00612,8.91085E+11,54.07681843,-4.6510706
00613,8.91085E+11,54.07527203,-4.65235219
00614,8.91085E+11,54.07527587,-4.65247153
00615,8.91085E+11,54.07315099,-4.65309805
00616,8.91085E+11,54.07296383,-4.65323944
00617,8.91085E+11,54.0738728,-4.65812946
00618,8.91085E+11,54.07379617,-4.65662197
00619,8.91085E+11,54.07548251,-4.6609998
00620,8.91085E+11,54.0750419,-4.65957307
00621,8.91085E+11,54.07693812,-4.663056
00622,8.91085E+11,54.0777661,-4.66328944
00623,8.91085E+11,54.07809438,-4.66416803
00701,8.91085E+11,54.0837282,-4.67455313
00702,8.91085E+11,54.08364127,-4.6744194
00703,8.91085E+11,54.09260393,-4.67513814
00704,8.91085E+11,54.09209182,-4.67527586
00705,8.91085E+11,54.0976938,-4.6768433
00706,8.91085E+11,54.09693193,-4.67578545
00707,8.91085E+11,54.09916524,-4.67807634
00708,8.91085E+11,54.09909077,-4.67790787
00709,8.91085E+11,54.10056979,-4.6802285
00710,8.91085E+11,54.1006649,-4.68043074
00711,8.91085E+11,54.09943491,-4.68307895
00712,8.91085E+11,54.09944576,-4.68331828
00801,8.91085E+11,54.08826584,-4.74848311
00802,8.91085E+11,54.08675783,-4.750068
00803,8.91085E+11,54.085017,-4.74948871
00804,8.91085E+11,54.08516779,-4.75369169
00805,8.91085E+11,54.0862883,-4.75593237
00806,8.91085E+11,54.0875366,-4.75106172
00807,8.91085E+11,54.08507298,-4.74893197
00808,8.91085E+11,54.08461489,-4.74613602
00809,8.91085E+11,54.08349158,-4.74409366
00810,8.91085E+11,54.0834945,-4.74417857
00811,8.91085E+11,54.08452011,-4.74619581
00812,8.91085E+11,54.08775344,-4.75595207
00813,8.91085E+11,54.08858391,-4.74778032
00818,8.91085E+11,54.087415,-4.75729
00901,8.91085E+11,54.08121198,-4.74294793
00902,8.91085E+11,54.08087796,-4.74277497
00903,8.91085E+11,54.07815668,-4.73999122
00904,8.91085E+11,54.0781126,-4.74016949
00905,8.91085E+11,54.07555346,-4.7375943
00906,8.91085E+11,54.07548289,-4.73777174
00907,8.91085E+11,54.07281225,-4.73939156
00908,8.91085E+11,54.07172868,-4.73876113
00909,8.91085E+11,54.07160953,-4.73764117
00910,8.91085E+11,54.07377111,-4.7386457
00911,8.91085E+11,54.078425,-4.74114
00912,8.91085E+11,54.079044,-4.74010016
00913,8.91085E+11,54.07887872,-4.74029093
01001,8.91085E+11,54.07475935,-4.75368679
01002,8.91085E+11,54.07461132,-4.75615195
01003,8.91085E+11,54.06973604,-4.76813303
01004,8.91085E+11,54.07086448,-4.76592629
01005,8.91085E+11,54.06366316,-4.79241912
01006,8.91085E+11,54.06984251,-4.76834679
01101,8.91085E+11,54.14779202,-4.52437752
01102,8.91085E+11,54.14739806,-4.52330178
01103,8.91085E+11,54.15154121,-4.53281963
01104,8.91085E+11,54.15288887,-4.53587004
01105,8.91085E+11,54.15392168,-4.53558308
01106,8.91085E+11,54.15067041,-4.53043057
01108,8.91085E+11,54.15078492,-4.52640002
01109,8.91085E+11,54.15108854,-4.52901048
01110,8.91085E+11,54.1542435,-4.53395334
01111,8.91085E+11,54.1534114,-4.53317553
01112,8.91085E+11,54.15157464,-4.5321506
01113,8.91085E+11,54.15681398,-4.53019602
01114,8.91085E+11,54.15698196,-4.52990906
01201,8.91085E+11,54.15408803,-4.53955131
01202,8.91085E+11,54.15414848,-4.53948991
01301,8.91085E+11,54.15449091,-4.57411017
01302,8.91085E+11,54.15457597,-4.57411775
01303,8.91085E+11,54.16505783,-4.59586388
01304,8.91085E+11,54.16546601,-4.59659603
01401,8.91085E+11,54.16730557,-4.60973138
01402,8.91085E+11,54.16735602,-4.60994232
01405,8.91085E+11,54.16026,-4.5882
01406,8.91085E+11,54.16041,-4.588085
01501,8.91085E+11,54.16924412,-4.63527633
01502,8.91085E+11,54.16939569,-4.63511252
01503,8.91085E+11,54.17071286,-4.63953109
01504,8.91085E+11,54.17112174,-4.63960065
01505,8.91085E+11,54.16981848,-4.6181562
01506,8.91085E+11,54.16989947,-4.61829418
01507,8.91085E+11,54.16925242,-4.63274018
01508,8.91085E+11,54.16935341,-4.63215026
01601,8.91085E+11,54.1561917,-4.50729968
01602,8.91085E+11,54.15639744,-4.50847117
01603,8.91085E+11,54.15648417,-4.50845084
01604,8.91085E+11,54.15713131,-4.51311758
01605,8.91085E+11,54.15724357,-4.51317508
01606,8.91085E+11,54.15796103,-4.51518279
01607,8.91085E+11,54.15809135,-4.51505559
01608,8.91085E+11,54.159511,-4.51332
01609,8.91085E+11,54.1596,-4.512428
01610,8.91085E+11,54.15866433,-4.51769443
01701,8.91085E+11,54.16140485,-4.50648751
01702,8.91085E+11,54.160436,-4.50412821
01703,8.91085E+11,54.16463543,-4.50616735
01704,8.91085E+11,54.1651836,-4.50639384
01705,8.91085E+11,54.16239257,-4.50736484
01711,8.91085E+11,54.16147153,-4.50739093
01712,8.91085E+11,54.16128999,-4.50742728
01801,8.91085E+11,54.17248773,-4.50603454
01802,8.91085E+11,54.17150987,-4.51647171
01803,8.91085E+11,54.17146442,-4.50770015
01804,8.91085E+11,54.17268462,-4.51143657
01805,8.91085E+11,54.17099083,-4.51011208
01807,8.91085E+11,54.17279691,-4.51171643
01808,8.91085E+11,54.17146442,-4.50770015
01809,8.91085E+11,54.17165197,-4.5153112
01810,8.91085E+11,54.17248773,-4.50603454
01811,8.91085E+11,54.17574762,-4.50829607
01812,8.91085E+11,54.17390874,-4.50860523
01813,8.91085E+11,54.17385506,-4.51361285
01813,8.91085E+11,54.17955341,-4.52068637
01901,8.91085E+11,54.16975207,-4.52378487
01902,8.91085E+11,54.16984413,-4.52337295
01903,8.91085E+11,54.17036823,-4.52744966
01904,8.91085E+11,54.17055062,-4.52816562
01905,8.91085E+11,54.16728934,-4.51779506
01906,8.91085E+11,54.17122601,-4.51784118
01907,8.91085E+11,54.16872843,-4.52205767
01908,8.91085E+11,54.1681574,-4.51923133
01909,8.91085E+11,54.17157803,-4.53658352
01910,8.91085E+11,54.17195898,-4.53658353
02001,8.91085E+11,54.17244248,-4.54234304
02002,8.91085E+11,54.17317134,-4.54536554
02003,8.91085E+11,54.17455692,-4.55067731
02004,8.91085E+11,54.174571,-4.55047973
02005,8.91085E+11,54.17666959,-4.55392086
02006,8.91085E+11,54.17606793,-4.55285474
02007,8.91085E+11,54.17802588,-4.55586233
02008,8.91085E+11,54.1779982,-4.55567595
02009,8.91085E+11,54.17520993,-4.54947349
02010,8.91085E+11,54.17694355,-4.54798821
02011,8.91085E+11,54.17520993,-4.54947349
02012,8.91085E+11,54.17694355,-4.54798821
02101,8.91085E+11,54.18237723,-4.56290414
02102,8.91085E+11,54.18249528,-4.56290332
02103,8.91085E+11,54.18332134,-4.56506221
02104,8.91085E+11,54.1839493,-4.56609998
02106,8.91085E+11,54.1847858,-4.56817123
02107,8.91085E+11,54.18624706,-4.57199824
02108,8.91085E+11,54.18629529,-4.5718826
02201,8.91085E+11,54.19031427,-4.58214115
02202,8.91085E+11,54.19032146,-4.58173888
02203,8.91085E+11,54.19341134,-4.5944539
02204,8.91085E+11,54.19324676,-4.59284993
